Year,Month,Inflation
1989,JAN,5.7
,,
1989,FEB,5.8
1989,MAR,5.9
1989,APR,5.6
1989,MAY,5.9
1989,JUN,5.8
1989,JUL,5.7
1989,AUG,5.5
1989,SEP,5.7
1989,OCT,
1989,NOV,5.7
1989,DEC,5.8
1990,JAN,5.9
1990,FEB,6.3
1990,MAR,6.2
1990,APR,
1990,MAY,8.2
1990,JUN,8.2
1990,JUL,
1990,AUG,8.9
1990,SEP,
1990,OCT,9.2
1990,NOV,
1990,,9.2
1991,JAN,8.6
1991,FEB,8.2
1991,MAR,8.3
1991,APR,8
1991,MAY,7.5
1991,JUN,7.7
1991,JUL,
1991,AUG,7.5
,SEP,6.9
,OCT,6.5
,NOV,6.5
1991,DEC,6.5
1992,JAN,
1992,FEB,6.3
1992,MAR,6.2
1992,APR,
1992,MAY,5.1
1992,JUN,4.6
1992,JUL,
1992,AUG,3.7
1992,SEP,3.7
,OCT,3.5
1992,NOV,.3
1992,DEC,3.2
1993,JAN,3
1993,FEB,3.1
1993,MAR,
1993,APR,2.6
1993,MAY,
1993,JUN,2.2
1993,JUL,
1993,AUG,2.6
1993,SEP,2.7
1993,OCT,2.4
1993,NOV,2.1
1993,DEC,2.3
1994,JAN,2.6
1994,FEB,2.4
1994,MAR,
1994,APR,
1994,MAY,
1994,JUN,
1994,JUL,2.1
1994,AUG,2.2
1994,SEP,1.9
1994,OCT,1.8
1994,NOV,2.1
1994,DEC,2.2
1995,JAN,2.4
1995,FEB,2.3
1995,MAR,2.4
1995,APR,2.3
1995,MAY,2.6
1995,JUN,2.7
1995,JUL,2.8
1995,AUG,2.7
1995,SEP,3
